Case_ID;Label;j2;i4;o4;j4;p1;a4;l8;p3;j4;p3;j2p3;p3p1;a4;j4i4;l8a4;i4a4;i4a4o4;p1j4;j4p1;a4o4;i4l8a4;p3j2;p1j4p1;p1i4j4;j2p3p1;o4j2;p1p3;p1i4;i4j4p1;o4i4;l8i4;i4j2p1;i4j2;i4l8j4;a4j4;l8j4o4;a4l8;i4o4;j4j2;j4l8p1;j2i4;a4i4;i4l8o4;i4l8i4;o4j4j2;o4i4o4i4;i4o4j4;l8
Case No. 72;0;2;3;3;2;3;2;1;0;1;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;2
Case No. 144;0;3;3;3;2;3;3;2;0;1;3;2;1;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
Case No. 96;0;3;3;3;1;3;0;3;2;1;2;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1
Case No. 88;0;3;3;3;1;3;0;3;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;3
Case No. 147;0;3;3;3;1;3;2;1;3;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;3
Case No. 13;0;2;3;3;1;3;0;1;2;1;3;2;1;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1
Case No. 140;0;3;3;3;2;2;3;3;0;1;3;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1
Case No. 15;0;3;3;3;1;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;2
Case No. 101;1;2;3;3;1;3;2;3;1;2;0;0;0;3;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;3
Case No. 113;1;3;3;3;1;3;0;3;3;2;0;0;0;3;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;1;1
Case No. 19;0;3;3;3;1;3;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;2
Case No. 129;1;2;3;3;1;3;3;3;1;1;0;0;0;3;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;3
Case No. 147;1;3;3;3;1;3;2;1;3;1;0;0;0;3;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;3
Case No. 80;0;2;3;3;1;2;1;2;3;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3
Case No. 98;0;3;3;3;2;3;2;1;0;1;2;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;3
Case No. 142;0;3;3;3;1;3;2;1;3;1;2;1;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;2
Case No. 120;0;3;3;3;2;3;3;1;0;2;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1
Case No. 48;0;2;3;3;2;3;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
Case No. 15;1;3;3;3;1;3;0;1;1;2;0;0;0;3;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;3
Case No. 133;0;3;3;3;1;3;2;1;3;1;1;0;1;3;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;2;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;2
