@relation DATA

@attribute j2 numeric
@attribute i4 numeric
@attribute o4 numeric
@attribute j4 numeric
@attribute p1 numeric
@attribute a4 numeric
@attribute l8 numeric
@attribute p3 numeric
@attribute j2p3 numeric
@attribute p3p1 numeric
@attribute o4j2 numeric
@attribute l8a4 numeric
@attribute i4l8a4 numeric
@attribute j2o4j2 numeric
@attribute i4l8a4i4 numeric
@attribute p1o4 numeric
@attribute o4i4 numeric
@attribute j2p3p1 numeric
@attribute p3j2 numeric
@attribute j4i4 numeric
@attribute a4o4l8o4j4p1 numeric
@attribute o4j4p1i4 numeric
@attribute j2p1i4j4 numeric
@attribute l8a4o4a4l8 numeric
@attribute j4l8p1 numeric
@attribute j2p1i4j4p1 numeric
@attribute j2p1o4 numeric
@attribute i4a4 numeric
@attribute l8j4i4 numeric
@attribute l8a4i4a4 numeric
@attribute p1p3 numeric
@attribute a4o4 numeric
@attribute a4i4o4 numeric
@attribute p1i4j4 numeric
@attribute j2o4 numeric
@attribute j2p1 numeric
@attribute l8i4 numeric
@attribute j4p1 numeric
@attribute i4p1 numeric
@attribute p1j2 numeric
@attribute i4o4j4 numeric
@attribute a4j4p1 numeric
@attribute o4l8o4j4p1 numeric
@attribute j4j2 numeric
@attribute label {0,1}

@data
0,3,3,1,3,1,3,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,3,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,3,3,1,3,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3,3,3,1,3,0,1,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,3,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0
3,3,3,1,3,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,3,3,1,3,2,3,2,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
3,3,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0
3,3,3,1,3,2,3,3,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,3,3,1,3,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
